Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Eni Live Station],Price [Eni Live Station],In stock [Eni Live Station],Low stock [Eni Live Station],"Modifier - ""Aggiunta""","Modifier - ""Ritiro e Consegna Concessionarie""","Modifier - ""Ritiro e Consegna PRIVATI"""
BOSCH REAR H 357 350MM,10200,BOSCH REAR H 357 350MM,Tergicristalli,BOSCH REAR H 357 350MM,N,,,,,,,0.00,4047025214872,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 358 350MM,10201,BOSCH REAR H 358 350MM,Tergicristalli,BOSCH REAR H 358 350MM,N,,,,,,,0.00,4047025214889,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 370 370MM,10202,BOSCH REAR H 370 370MM,Tergicristalli,BOSCH REAR H 370 370MM,N,,,,,,,0.00,4047024398573,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 381 380MM,10189,BOSCH REAR H 381 380MM,Tergicristalli,BOSCH REAR H 381 380MM,N,,,,,,,0.00,4047024230354,,,Y,Y,15.00,2.000,3.000,N,N,N
BOSCH REAR H 382 380MM,10191,BOSCH REAR H 382 380MM,Tergicristalli,BOSCH REAR H 382 380MM,N,,,,,,,0.00,4047024656420,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 383 380MM,10192,BOSCH REAR H 383 380MM,Tergicristalli,BOSCH REAR H 383 380MM,N,,,,,,,0.00,4047024909601,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 402 400MM,10194,BOSCH REAR H 402 400MM,Tergicristalli,BOSCH REAR H 402 400MM,N,,,,,,,0.00,3165143609262,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 403 400MM,10185,BOSCH REAR H 403 400MM,Tergicristalli,BOSCH REAR H 403 400MM,N,,,,,,,0.00,4047024927292,,,Y,Y,15.00,2.000,3.000,N,N,N
BOSCH REAR H 503 500MM,10188,BOSCH REAR H 503 500MM,Tergicristalli,BOSCH REAR H 503 500MM,N,,,,,,,0.00,3165143604786,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 801 260MM,10217,BOSCH REAR H 801 260MM,Tergicristalli,BOSCH REAR H 801 260MM,N,,,,,,,0.00,4047023136701,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE A 250 H 250MM,10168,BOSCH REAR SPAZZOLA POSTERIORE A 250 H 250MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE A 250 H 250MM,N,,,,,,,0.00,4047024312555,,,Y,Y,15.00,2.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE A 252 H 250MM,10169,BOSCH REAR SPAZZOLA POSTERIORE A 252 H 250MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE A 252 H 250MM,N,,,,,,,0.00,4047023061157,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE A 280 H 280MM,10170,BOSCH REAR SPAZZOLA POSTERIORE A 280 H 280MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE A 280 H 280MM,N,,,,,,,0.00,4047024110717,,,Y,Y,15.00,2.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE A 283 H 280MM,10171,BOSCH REAR SPAZZOLA POSTERIORE A 283 H 280MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE A 283 H 280MM,N,,,,,,,0.00,4047026241068,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE A 325 H 325MM,10172,BOSCH REAR SPAZZOLA POSTERIORE A 325 H 325MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE A 325 H 325MM,N,,,,,,,0.00,4047026183122,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE A 334 H 330MM,10173,BOSCH REAR SPAZZOLA POSTERIORE A 334 H 330MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE A 334 H 330MM,N,,,,,,,0.00,4047026199178,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE A 340 H 340MM,10174,BOSCH REAR SPAZZOLA POSTERIORE A 340 H 340MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE A 340 H 340MM,N,,,,,,,0.00,4047023019813,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE A 360 H 380MM,10175,BOSCH REAR SPAZZOLA POSTERIORE A 360 H 380MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE A 360 H 380MM,N,,,,,,,0.00,4047024875234,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE A 400 H 400MM,10176,BOSCH REAR SPAZZOLA POSTERIORE A 400 H 400MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE A 400 H 400MM,N,,,,,,,0.00,4047024151482,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE A 404 H 400MM,10177,BOSCH REAR SPAZZOLA POSTERIORE A 404 H 400MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE A 404 H 400MM,N,,,,,,,0.00,4047025920315,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE AM 24 H 240MM,10178,BOSCH REAR SPAZZOLA POSTERIORE AM 24 H 240MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE AM 24 H 240MM,N,,,,,,,0.00,4047026491913,,,Y,Y,15.00,5.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE AM 28 H 280MM,10179,BOSCH REAR SPAZZOLA POSTERIORE AM 28 H 280MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE AM 28 H 280MM,N,,,,,,,0.00,4047026491876,,,Y,Y,15.00,4.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE AM 30 H 300MM,10180,BOSCH REAR SPAZZOLA POSTERIORE AM 30 H 300MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE AM 30 H 300MM,N,,,,,,,0.00,4047026491920,,,Y,Y,15.00,4.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE AM 33 H 330MM,10181,BOSCH REAR SPAZZOLA POSTERIORE AM 33 H 330MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE AM 33 H 330MM,N,,,,,,,0.00,4047026491883,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE AM 38 H 380MM,10182,BOSCH REAR SPAZZOLA POSTERIORE AM 38 H 380MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE AM 38 H 380MM,N,,,,,,,0.00,4047026491890,,,Y,Y,15.00,3.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE AM 40 H 400MM,10183,BOSCH REAR SPAZZOLA POSTERIORE AM 40 H 400MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE AM 40 H 400MM,N,,,,,,,0.00,4047026491906,,,Y,Y,15.00,3.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H2304 300MM,10153,BOSCH REAR SPAZZOLA POSTERIORE H2304 300MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H2304 300MM,N,,,,,,,0.00,4047024208803,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H240 240MM,10151,BOSCH REAR SPAZZOLA POSTERIORE H240 240MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H240 240MM,N,,,,,,,0.00,4047025224048,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H280 280MM,10152,BOSCH REAR SPAZZOLA POSTERIORE H280 280MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H280 280MM,N,,,,,,,0.00,3165141090369,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H307 300MM,10154,BOSCH REAR SPAZZOLA POSTERIORE H307 300MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H307 300MM,N,,,,,,,0.00,4047025083140,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H312 300MM,10155,BOSCH REAR SPAZZOLA POSTERIORE H312 300MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H312 300MM,N,,,,,,,0.00,4047025233200,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H341 340MM,10156,BOSCH REAR SPAZZOLA POSTERIORE H341 340MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H341 340MM,N,,,,,,,0.00,3165143609217,,,Y,Y,15.00,0.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H351 350MM,10157,BOSCH REAR SPAZZOLA POSTERIORE H351 350MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H351 350MM,N,,,,,,,0.00,3165143604755,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H352 350MM,10158,BOSCH REAR SPAZZOLA POSTERIORE H352 350MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H352 350MM,N,,,,,,,0.00,4047024699250,,,Y,Y,15.00,2.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H354 350MM,10159,BOSCH REAR SPAZZOLA POSTERIORE H354 350MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H354 350MM,N,,,,,,,0.00,4047024699267,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H371 370MM,10160,BOSCH REAR SPAZZOLA POSTERIORE H371 370MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H371 370MM,N,,,,,,,0.00,4047025510592,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H380 380MM,10161,BOSCH REAR SPAZZOLA POSTERIORE H380 380MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H380 380MM,N,,,,,,,0.00,3165141087468,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H384 380MM,10162,BOSCH REAR SPAZZOLA POSTERIORE H384 380MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H384 380MM,N,,,,,,,0.00,4047025615051,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H400 400MM,10163,BOSCH REAR SPAZZOLA POSTERIORE H400 400MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H400 400MM,N,,,,,,,0.00,3165141087505,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H405 400MM,10164,BOSCH REAR SPAZZOLA POSTERIORE H405 400MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H405 400MM,N,,,,,,,0.00,4047023044440,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H450 450MM,10165,BOSCH REAR SPAZZOLA POSTERIORE H450 450MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H450 450MM,N,,,,,,,0.00,3165141087550,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H480 475MM,10166,BOSCH REAR SPAZZOLA POSTERIORE H480 475MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H480 475MM,N,,,,,,,0.00,3165141088175,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR SPAZZOLA POSTERIORE H500 500MM,10167,BOSCH REAR SPAZZOLA POSTERIORE H500 500MM,Tergicristalli,BOSCH REAR SPAZZOLA POSTERIORE H500 500MM,N,,,,,,,0.00,3165141087642,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH TWIN H 375 375MM,10203,BOSCH TWIN H 375 375MM,Tergicristalli,BOSCH TWIN H 375 375MM,N,,,,,,,0.00,3165143604762,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH TWIN H 502 500MM,10187,BOSCH TWIN H 502 500MM,Tergicristalli,BOSCH TWIN H 502 500MM,N,,,,,,,0.00,3165143609279,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH TWIN H 753 380MM,10193,BOSCH TWIN H 753 380MM,Tergicristalli,BOSCH TWIN H 753 380MM,N,,,,,,,0.00,4047023046444,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH TWIN SPOLIER ANT. 583 S 530/530MM,10133,BOSCH TWIN SPOLIER ANT. 583 S 530/530MM,Tergicristalli,BOSCH TWIN SPOLIER ANT. 583 S 530/530MM,N,,,,,,,0.00,3165141094992,,,Y,Y,40.00,1.000,3.000,N,N,N
BOSH TWIN ANT. 280 280/280MM,10132,BOSH TWIN ANT. 280 280/280MM,Tergicristalli,BOSH TWIN ANT. 280 280/280MM,N,,,,,,,0.00,3165143196953,,,Y,Y,30.00,1.000,3.000,N,N,N
BOSH TWIN ANT. 609 600/600MM,10131,BOSH TWIN ANT. 609 600/600MM,Tergicristalli,BOSH TWIN ANT. 609 600/600MM,N,,,,,,,0.00,3165143935484,,,Y,Y,35.00,2.000,3.000,N,N,N
BRILLIANT LUCIDACRUSCOTTI 600ML,10067,BRILLIANT LUCIDACRUSCOTTI 600ML,Uso interno,BRILLIANT LUCIDACRUSCOTTI 600ML,N,,,,,,,0.00,8027486708963,,,Y,Y,8.00,18.000,3.000,N,N,N
"buono-carburante-€10,00",10500,"Buono Carburante €10,00",BUONI,,N,,,,,,,0.00,ENI-bnc-0010,,,N,Y,10.00,,,N,N,N
"buono-carburante-€20,00",10501,"Buono Carburante €20,00",BUONI,,N,,,,,,,0.00,ENI-bnc-0020,,,N,Y,20.00,,,N,N,N
"buono-carburante-€50,00",10502,"Buono Carburante €50,00",BUONI,,N,,,,,,,0.00,ENI-bnc-0050,,,N,Y,50.00,,,N,N,N
buono-lavaggaio-interno,10503,Buono Lavaggaio Interno,BUONI,,N,,,,,,,0.00,ENI-lvi-0001,,,N,Y,22.00,,,N,N,N
buono-lavaggio-completo,10505,Buono Lavaggio Completo,BUONI,,N,,,,,,,0.00,ENI-lvc-0003,,,N,Y,28.00,,,N,N,N
buono-lavaggio-esterno,10504,Buono Lavaggio Esterno,BUONI,,N,,,,,,,0.00,ENI-lve-0002,,,N,Y,14.00,,,N,N,N
caffè,10487,Caffè,Bar,,N,,,,,,,0.00,,,,N,Y,1.00,,,N,N,N
CALZA PARASOLE IN TESSUTO TG. M,10370,CALZA PARASOLE IN TESSUTO TG. M,Accessori,CALZA PARASOLE IN TESSUTO TG. M,N,,,,,,,0.00,3221320780916,,,Y,Y,23.00,1.000,3.000,N,N,N
CALZE DA NEVE AUTOSOCK - MISURA 54,10296,CALZE DA NEVE AUTOSOCK - MISURA 54,Catene,CALZE DA NEVE AUTOSOCK - MISURA 54,N,,,,,,,0.00,7090005001549,,,Y,Y,60.00,1.000,3.000,N,N,N
CALZE DA NEVE AUTOSOCK - MISURA 605,10298,CALZE DA NEVE AUTOSOCK - MISURA 605,Catene,CALZE DA NEVE AUTOSOCK - MISURA 605,N,,,,,,,0.00,7090005006056,,,Y,Y,80.00,5.000,3.000,N,N,N
CALZE DA NEVE AUTOSOCK - MISURA 625,10299,CALZE DA NEVE AUTOSOCK - MISURA 625,Catene,CALZE DA NEVE AUTOSOCK - MISURA 625,N,,,,,,,0.00,7090005006254,,,Y,Y,80.00,2.000,3.000,N,N,N
CALZE DA NEVE AUTOSOCK - MISURA 66,10297,CALZE DA NEVE AUTOSOCK - MISURA 66,Catene,CALZE DA NEVE AUTOSOCK - MISURA 66,N,,,,,,,0.00,7090005001662,,,Y,Y,60.00,5.000,3.000,N,N,N
CALZE DA NEVE AUTOSOCK - MISURA 698,10300,CALZE DA NEVE AUTOSOCK - MISURA 698,Catene,CALZE DA NEVE AUTOSOCK - MISURA 698,N,,,,,,,0.00,7090005000252,,,Y,Y,85.00,2.000,3.000,N,N,N
CALZE DA NEVE AUTOSOCK - MISURA 699,10301,CALZE DA NEVE AUTOSOCK - MISURA 699,Catene,CALZE DA NEVE AUTOSOCK - MISURA 699,N,,,,,,,0.00,7090005006995,,,Y,Y,85.00,2.000,3.000,N,N,N
CALZE DA NEVE FIX&GOTEX - GRUPPO D - 060,10295,CALZE DA NEVE FIX&GOTEX - GRUPPO D - 060,Catene,CALZE DA NEVE FIX&GOTEX - GRUPPO D - 060,N,,,,,,,0.00,3284550007031,,,Y,Y,60.00,1.000,3.000,N,N,N
CAR ELIMINA ODORI PERSISTENTI ,10342,CAR ELIMINA ODORI PERSISTENTI,Accessori,CAR ELIMINA ODORI PERSISTENTI ,N,,,,,,,0.00,4084500942455,,,Y,Y,4.50,2.000,3.000,N,N,N
CAR FLORES Y BRISA ,10364,CAR FLORES Y BRISA,Accessori,CAR FLORES Y BRISA ,N,,,,,,,0.00,5410076328291,,,Y,Y,7.00,1.000,3.000,N,N,N
CAR PROFUMO BRISA MARINA,10343,CAR PROFUMO BRISA MARINA,Accessori,<p>CAR PROFUMO BRISA MARINA</p>,N,,,,,,,0.00,4015600641580,,,Y,Y,4.50,6.000,,N,N,N
CAR PROFUMO SKY AIRE FRESCHO,10344,CAR PROFUMO SKY AIRE FRESCHO,Accessori,CAR PROFUMO SKY AIRE FRESCHO,N,,,,,,,0.00,4015600641405,,,Y,Y,4.50,1.000,3.000,N,N,N
CAR PROMFUMO ANTITABACCO ,10341,CAR PROMFUMO ANTITABACCO,Accessori,<p>CAR PROFUMO ANTITABACCO</p>,N,,,,,,,0.00,8001090245311,,,Y,Y,4.50,3.000,3.000,N,N,N
CAR PROMFUMO AUTO NUOVA,10340,CAR PROMFUMO AUTO NUOVA,Accessori,CAR PROMFUMO AUTO NUOVA,N,,,,,,,0.00,8006540342039,,,Y,Y,4.50,1.000,3.000,N,N,N
CARTA STAMAPANTE PER TACHIGRAFO 3PZ,10026,CARTA STAMAPANTE PER TACHIGRAFO 3PZ,Accessori,CARTA STAMAPANTE PER TACHIGRAFO 3PZ,N,,,,,,,0.00,4103590250025,,,Y,Y,1.00,1.000,3.000,N,N,N
CATENA DA NEVE CB-12 - 080,10231,CATENA DA NEVE CB-12 - 080,Catene,CATENA DA NEVE CB-12 - 080,N,,,,,,,0.00,8005438011101,,,Y,Y,90.00,1.000,3.000,N,N,N
CATENA DA NEVE CB-12 - 090,10232,CATENA DA NEVE CB-12 - 090,Catene,CATENA DA NEVE CB-12 - 090,N,,,,,,,0.00,8005438011132,,,Y,Y,95.00,1.000,3.000,N,N,N
CATENA DA NEVE CB-12 - 100,10233,CATENA DA NEVE CB-12 - 100,Catene,CATENA DA NEVE CB-12 - 100,N,,,,,,,0.00,8005438011552,,,Y,Y,100.00,1.000,3.000,N,N,N
CATENA DA NEVE CD-9 - 035,10237,CATENA DA NEVE CD-9 - 035,Catene,CATENA DA NEVE CD-9 - 035,N,,,,,,,0.00,8005438007746,,,Y,Y,110.00,0.000,3.000,N,N,N
CATENA DA NEVE CD-9 - 040,10238,CATENA DA NEVE CD-9 - 040,Catene,CATENA DA NEVE CD-9 - 040,N,,,,,,,0.00,8005438007760,,,Y,Y,110.00,1.000,3.000,N,N,N
CATENA DA NEVE CD-9 - 050,10239,CATENA DA NEVE CD-9 - 050,Catene,CATENA DA NEVE CD-9 - 050,N,,,,,,,0.00,8005438007784,,,Y,Y,120.00,1.000,3.000,N,N,N
CATENA DA NEVE CD-9 - 065,10240,CATENA DA NEVE CD-9 - 065,Catene,CATENA DA NEVE CD-9 - 065,N,,,,,,,0.00,8005438007821,,,Y,Y,130.00,2.000,3.000,N,N,N
CATENA DA NEVE CD-9 - 080,10241,CATENA DA NEVE CD-9 - 080,Catene,CATENA DA NEVE CD-9 - 080,N,,,,,,,0.00,8005438009351,,,Y,Y,140.00,2.000,3.000,N,N,N
CATENA DA NEVE CG-10 T2 MAGIC - 050,10253,CATENA DA NEVE CG-10 T2 MAGIC - 050,Catene,CATENA DA NEVE CG-10 T2 MAGIC - 050,N,,,,,,,0.00,8005438009535,,,Y,Y,130.00,1.000,3.000,N,N,N
CATENA DA NEVE CG-9 - 050,10242,CATENA DA NEVE CG-9 - 050,Catene,CATENA DA NEVE CG-9 - 050,N,,,,,,,0.00,8005438009283,,,Y,Y,135.00,1.000,3.000,N,N,N
CATENA DA NEVE CG-9 - 060,10243,CATENA DA NEVE CG-9 - 060,Catene,CATENA DA NEVE CG-9 - 060,N,,,,,,,0.00,8005438009313,,,Y,Y,150.00,0.000,3.000,N,N,N
CATENA DA NEVE CG-9 - 065,10244,CATENA DA NEVE CG-9 - 065,Catene,CATENA DA NEVE CG-9 - 065,N,,,,,,,0.00,8005438009320,,,Y,Y,155.00,1.000,3.000,N,N,N
CATENA DA NEVE CG-9 - 070,10245,CATENA DA NEVE CG-9 - 070,Catene,CATENA DA NEVE CG-9 - 070,N,,,,,,,0.00,8005438009337,,,Y,Y,160.00,6.000,3.000,N,N,N
CATENA DA NEVE CG-9 - 075,10247,CATENA DA NEVE CG-9 - 075,Catene,CATENA DA NEVE CG-9 - 075,N,,,,,,,0.00,8005438009344,,,Y,Y,160.00,1.000,3.000,N,N,N
CATENA DA NEVE CG-9 - 080 ,10248,CATENA DA NEVE CG-9 - 080,Catene,CATENA DA NEVE CG-9 - 080 ,N,,,,,,,0.00,8005438009351,,,Y,Y,170.00,2.000,3.000,N,N,N
CATENA DA NEVE CG-9 - 090,10249,CATENA DA NEVE CG-9 - 090,Catene,CATENA DA NEVE CG-9 - 090,N,,,,,,,0.00,8005438009368,,,Y,Y,175.00,1.000,3.000,N,N,N
CATENA DA NEVE CG-9 - 095,10250,CATENA DA NEVE CG-9 - 095,Catene,CATENA DA NEVE CG-9 - 095,N,,,,,,,0.00,8005438009375,,,Y,Y,180.00,3.000,3.000,N,N,N
CATENA DA NEVE CG-9 - 097,10251,CATENA DA NEVE CG-9 - 097,Catene,CATENA DA NEVE CG-9 - 097,N,,,,,,,0.00,8005438009382,,,Y,Y,180.00,0.000,3.000,N,N,N
CATENA DA NEVE CG-9 CONFORT MAGIC - 070,10246,CATENA DA NEVE CG-9 CONFORT MAGIC - 070,Catene,CATENA DA NEVE CG-9 CONFORT MAGIC - 070,N,,,,,,,0.00,8005438009108,,,Y,Y,170.00,1.000,3.000,N,N,N
CATENA DA NEVE CG-9 CONFORT MAGIC - 097,10252,CATENA DA NEVE CG-9 CONFORT MAGIC - 097,Catene,CATENA DA NEVE CG-9 CONFORT MAGIC - 097,N,,,,,,,0.00,8005438009153,,,Y,Y,190.00,4.000,3.000,N,N,N
CATENA DA NEVE CL-10 - 100,10234,CATENA DA NEVE CL-10 - 100,Catene,CATENA DA NEVE CL-10 - 100,N,,,,,,,0.00,8005438014133,,,Y,Y,190.00,1.000,3.000,N,N,N
CATENA DA NEVE CL-10 - 102 ,10235,CATENA DA NEVE CL-10 - 102,Catene,CATENA DA NEVE CL-10 - 102 ,N,,,,,,,0.00,8005438014140,,,Y,Y,200.00,2.000,3.000,N,N,N
CATENA DA NEVE CL-10 - 105 ,10236,CATENA DA NEVE CL-10 - 105,Catene,CATENA DA NEVE CL-10 - 105 ,N,,,,,,,0.00,8005438014942,,,Y,Y,230.00,3.000,3.000,N,N,N
CATENA DA NEVE CONFORT MAGIC MISURA 050,10227,CATENA DA NEVE CONFORT MAGIC MISURA 050,Catene,CATENA DA NEVE CONFORT MAGIC MISURA 050,N,,,,,,,0.00,8005438300502,,,Y,Y,120.00,1.000,3.000,N,N,N
CATENA DA NEVE K7 MISURA 085,10228,CATENA DA NEVE K7 MISURA 085,Catene,CATENA DA NEVE K7 MISURA 085,N,,,,,,,0.00,2000000130354,,,Y,Y,150.00,1.000,3.000,N,N,N
CATENA DA NEVE T2 NO PROBLEM - MISURA 250,10229,CATENA DA NEVE T2 NO PROBLEM - MISURA 250,Catene,CATENA DA NEVE T2 NO PROBLEM - MISURA 250,N,,,,,,,0.00,8005438012504,,,Y,Y,150.00,1.000,3.000,N,N,N
CATENA DA NEVE T2 NO PROBLEM - MISURA 255,10230,CATENA DA NEVE T2 NO PROBLEM - MISURA 255,Catene,CATENA DA NEVE T2 NO PROBLEM - MISURA 255,N,,,,,,,0.00,8005438012559,,,Y,Y,150.00,1.000,3.000,N,N,N
CATENE DA NEVE CLACK&GO SUV - MISURA 11,10291,CATENE DA NEVE CLACK&GO SUV - MISURA 11,Catene,CATENE DA NEVE CLACK&GO SUV - MISURA 11,N,,,,,,,0.00,,,,Y,Y,190.00,1.000,3.000,N,N,N
CATENE DA NEVE CLACK&GO SUV - MISURA 12/B,10292,CATENE DA NEVE CLACK&GO SUV - MISURA 12/B,Catene,CATENE DA NEVE CLACK&GO SUV - MISURA 12/B,N,,,,,,,0.00,8001879080294,,,Y,Y,200.00,1.000,3.000,N,N,N
CATENE DA NEVE CLACK&GO SUV - MISURA 12/C,10293,CATENE DA NEVE CLACK&GO SUV - MISURA 12/C,Catene,CATENE DA NEVE CLACK&GO SUV - MISURA 12/C,N,,,,,,,0.00,8001879080300,,,Y,Y,200.00,1.000,3.000,N,N,N
CATENE DA NEVE CLACK&GO SUV - MISURA 8,10289,CATENE DA NEVE CLACK&GO SUV - MISURA 8,Catene,CATENE DA NEVE CLACK&GO SUV - MISURA 8,N,,,,,,,0.00,,,,Y,Y,170.00,4.000,3.000,N,N,N
CATENE DA NEVE CLACK&GO SUV - MISURA 9,10290,CATENE DA NEVE CLACK&GO SUV - MISURA 9,Catene,CATENE DA NEVE CLACK&GO SUV - MISURA 9,N,,,,,,,0.00,8001879080249,,,Y,Y,180.00,0.000,3.000,N,N,N
CATENE DA NEVE E-12 MISURA 050,10271,CATENE DA NEVE E-12 MISURA 050,Catene,CATENE DA NEVE E-12 MISURA 050,N,,,,,,,0.00,8005438090502,,,Y,Y,90.00,3.000,3.000,N,N,N
CATENE DA NEVE E-12 MISURA 060,10272,CATENE DA NEVE E-12 MISURA 060,Catene,CATENE DA NEVE E-12 MISURA 060,N,,,,,,,0.00,8005438090601,,,Y,Y,90.00,2.000,3.000,N,N,N
CATENE DA NEVE E-12 MISURA 100,10273,CATENE DA NEVE E-12 MISURA 100,Catene,CATENE DA NEVE E-12 MISURA 100,N,,,,,,,0.00,8005438091004,,,Y,Y,100.00,2.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 020,10254,CATENE DA NEVE E-9 MISURA 020,Catene,CATENE DA NEVE E-9 MISURA 020,N,,,,,,,0.00,8005438006589,,,Y,Y,100.00,1.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 030,10255,CATENE DA NEVE E-9 MISURA 030,Catene,CATENE DA NEVE E-9 MISURA 030,N,,,,,,,0.00,8005438006596,,,Y,Y,100.00,4.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 035,10256,CATENE DA NEVE E-9 MISURA 035,Catene,CATENE DA NEVE E-9 MISURA 035,N,,,,,,,0.00,8005438006602,,,Y,Y,100.00,4.000,3.000,N,N,N
CATENE DA NEVE E-9 MISURA 040,10257,CATENE DA NEVE E-9 MISURA 040,Catene,CATENE DA NEVE E-9 MISURA 040,N,,,,,,,0.00,8005438006619,,,Y,Y,100.00,2.000,3.000,N,N,N
